Sample	0h	6h	3d	7d	11d
SMED30003885	66.8655	67.3207	69.6373	56.9652	59.3505
SMED30003886	12.8382	16.188	18.5063	15.9162	16.1837
SMED30003887	138.57	133.429	143.485	136.16	145.915
SMED30003888	0.0288631	0.0887534	0.0447217	0.0365343	0
SMED30003889	0.291477	0.182897	0.242772	0.323971	0.290782
SMED30003890	10.8291	10.6583	15.2237	10.8512	11.365
SMED30003891	0.582692	0.450318	0.46334	0.536574	0.462237
SMED30003892	0	0	0	0	0
SMED30003893	2.46962	2.92649	3.00803	2.89083	3.16624
SMED30003894	8.94855	8.89399	8.8582	6.90276	8.37354
SMED30003895	0.0335756	0.0606763	0.17045	0.0823355	0.0909868
SMED30003896	0.0912371	0.151677	0.092047	0.128768	0.146378
SMED30003897	4.372	3.23812	0.0349984	0	0
SMED30003898	2.94567	4.27514	5.39453	3.21988	2.32771
SMED30003899	35.0169	37.0585	31.921	27.5451	28.3789
SMED30003900	0.171947	0.319376	0.202799	0.261096	0.347523
SMED30003901	0.255309	0.201905	0.038218	0.0885848	0.10814
SMED30003902	5.94141	5.57652	4.19152	5.2526	5.83105
SMED30003903	16.9331	17.6804	26.7031	11.3697	12.4632
SMED30003904	0.627492	0.730796	0.441358	0.55693	0.533949
SMED30003905	196.119	209.546	237.726	294.584	271.203
SMED30003906	0.390457	0.385058	0.362012	0.479173	0.431754
SMED30003907	3.9777	3.83982	6.94559	8.58747	7.49099
SMED30003908	25.7202	28.2152	32.9037	32.1018	28.6245
SMED30003909	5340.26	5268.57	7333.81	5531.81	4990.85
SMED30003910	0.453644	0.239294	0.24942	0.503226	0.401483
SMED30003911	0.0369961	0	0.0276437	0.0116475	0
SMED30003912	37.442	41.1777	53.3921	51.7423	50.3792
SMED30003913	0	0	0	0	0
SMED30003914	4.43986	3.35594	5.19757	4.99782	4.91154
SMED30003915	0.940355	0.699168	0.808868	0.530905	0.777371
SMED30003916	6.75997	7.14775	4.8683	3.62191	3.66834
SMED30003917	0.00583357	0.0211107	0.0137672	0.0114214	0.00518503
SMED30003918	0.160799	0.192159	0.140529	0.15304	0.124494
SMED30003919	0.0312218	0.0343577	0.0803606	0.158217	0.0510965
SMED30003920	19.549	19.3645	21.8296	21.2994	20.8403
