Sample	0h	6h	12h	1d	2d	3d	5d	7d	9d	11d
SMED30014525	201.572	206.74	270.976	253.966	216.629	187.43	209.574	207.98	210.645	193.828
SMED30014526	2.54533	2.37519	1.18486	0.629924	0.18693	0.511697	0.0494735	0.0795533	0.107138	0.0401972
SMED30014527	3.59625	3.5547	2.99049	2.07942	1.69165	1.86718	2.07285	2.45463	2.39134	3.08316
SMED30014528	0.405831	0.840197	0.349459	0.334499	0.456743	0.54667	0.478897	0.742217	0.853996	1.07455
SMED30014529	12.0426	9.05176	14.5894	13.3073	9.84624	8.49162	8.63458	8.795	12.79	9.91377
SMED30014530	12.5444	12.3751	17.1425	20.4682	20.4425	18.2416	19.3468	18.2959	18.3821	14.7767
SMED30014531	17.7229	16.8835	23.1951	25.2618	23.8026	20.5989	21.2473	20.1866	20.9682	17.7349
SMED30014532	0	0	0.0184469	0.0181517	0	0.0552466	0.0131981	0	0.0137995	0
SMED30014533	3.05713	3.86408	1.7965	2.6581	2.9105	4.45692	3.40893	2.96678	2.6333	3.24456
SMED30014534	8.39291	7.91927	5.76044	4.24543	4.101	8.87821	5.34729	5.7178	4.23393	6.3361
SMED30014535	23.0147	24.1633	31.2698	33.9837	29.9698	26.4726	24.57	20.1479	22.4257	22.4841
SMED30014536	0.151728	0.159543	0.0765827	0	0	0.0618113	0.0387619	0.1731	0.0123523	0.123197
SMED30014537	0.287049	0.36595	0.319983	0.601663	0.79464	0.510214	0.461675	0.544378	0.470006	0.63704
SMED30014538	0.265388	0.270338	0.15822	0.166584	0.176071	0.33007	0.263162	0.16221	0.12881	0.190748
SMED30014539	68.9322	62.8995	55.7508	56.0917	59.3015	63.9971	85.7427	85.5292	92.2727	82.5436
SMED30014540	1.72223	1.49737	1.1608	1.08329	1.31046	1.85889	1.23737	1.4486	1.30067	1.26281
SMED30014541	0.322879	0.281739	0.207012	0.131508	0.135621	0.169823	0.189919	0.226725	0.175711	0.253165
SMED30014542	0.196665	0.309323	0.13309	0.271292	0.415111	0.291554	0.210322	0.303187	0.264522	0.287128
SMED30014543	7.55461	7.32524	8.18735	7.90457	7.24668	6.78669	6.19259	6.36644	6.28415	5.72705
SMED30014544	2.34375	3.35524	4.06665	5.06625	4.54193	4.10842	2.74002	2.61763	3.01211	2.68466
SMED30014545	0.697134	0.550939	0.478794	0.723337	0.780349	0.820598	0.997622	1.12888	1.0889	1.06793
SMED30014546	153.713	153.607	145.81	139.247	152.477	182.114	230.027	238.619	255.493	238.37
SMED30014547	0.0119693	0.0140902	0.0537833	0.0554871	0.0122922	0.0560933	0.0540362	0.0720117	0.0442125	0.098275
SMED30014548	0	0	0	0	0	0	0	0	0	0
SMED30014549	79.8457	82.5438	68.777	80.1185	101.483	111.654	100.739	97.5149	94.0394	101.139
SMED30014550	0.324508	0.0949529	0.121719	0.250721	0.292401	0.398594	0.20296	0.102296	0.143993	0.274034
SMED30014551	14.5431	15.6097	10.292	9.68872	11.2618	18.2109	11.2925	13.6503	9.65176	14.416
SMED30014552	0.553442	0.604398	0.20317	0.324663	0.343326	0.881817	0.363437	0.847525	0.405073	0.925642
SMED30014553	1.24817	1.14275	0.767441	0.674471	0.957053	1.16081	1.0759	1.20126	1.05332	0.956866
SMED30014554	1.55571	1.11547	0.855624	1.24262	1.42222	1.60258	1.78408	1.29143	1.34228	1.52946
SMED30014555	0.00966067	0.020778	0.00959437	0.0607303	0.00954677	0.0904865	0.0319109	0.0654536	0.0719206	0.0469574
SMED30014556	48.6695	48.136	55.2243	62.5764	58.7162	55.4869	60.0165	53.383	58.5327	54.9751
SMED30014557	6.63295	6.40325	6.29178	5.39431	4.99339	5.25615	5.72437	5.13608	5.18676	4.9807
SMED30014558	750.148	686.601	599.314	605.324	645.328	981.193	716.132	701.461	568.188	766.161
SMED30014559	0.279163	0.231926	0.203726	0.152669	0.203487	0.284035	0.14414	0.26882	0.22607	0.234567
SMED30014560	214.986	215.41	236.138	215.543	226.399	192.799	203.51	202.64	210.473	194.558
SMED30014561	129.297	135.039	144.718	141.993	122.6	125.928	118.315	123.565	135.054	122.113
SMED30014562	1.63193	1.57435	0.99865	1.16206	1.37511	1.77213	1.30457	1.32097	1.30983	1.54751
SMED30014563	14.9314	15.1896	16.6627	15.4471	13.0063	13.3552	13.0506	12.1419	12.7623	11.964
SMED30014564	0.467325	0.412254	0.252248	0.364023	0.623036	0.26582	0.488324	0.35979	0.435847	0.380349
