Sample	0h	6h	3d	7d	11d
SMED30025689	0.76001	0.672345	0.830206	0.54435	0.361115
SMED30025695	0.0449445	0.081471	0.0320457	0.0485849	0
SMED30025706	0.212806	0.198809	0.215842	0.24313	0.170837
SMED30025711	0.571529	0.581491	0.705641	0.810306	1.12359
SMED30025721	1.13623	1.2381	1.89264	1.83813	1.89288
SMED30025724	1.43802	1.462	1.37455	1.20318	1.14828
SMED30025726	242.324	240.052	326.341	400.842	437.764
SMED30025756	0.144056	0.114762	0.0679602	0.038955	0.089782
SMED30025763	0.925857	0.774379	1.19038	1.21557	0.925314
SMED30025768	1.0623	1.08061	1.1063	1.20359	1.12198
SMED30025771	18.4215	17.0264	18.3558	20.0899	20.9953
SMED30025781	8.21261	8.44985	8.52301	10.8959	11.1197
SMED30025783	279.611	297.917	321.281	357.665	348.954
SMED30025790	0.274017	0.332319	0.349681	0.229349	0.246686
SMED30025799	0.0351019	0.0102667	0.0114039	0.0333156	0
SMED30025802	0.410741	0.511132	0.652229	0.880027	1.14492
SMED30025803	3.39103	3.42202	3.84894	4.24921	4.72795
SMED30025806	0.903988	0.958815	0.965244	1.31845	1.4323
SMED30025807	47.8187	50.9658	56.9324	66.0121	67.8803
SMED30025817	0.200009	0.261238	0.277088	0.162437	0.113963
SMED30025820	7.01979	7.17846	7.99862	9.0185	9.72951
SMED30025825	15.3587	13.9579	14.7151	16.4105	18.4911
SMED30025829	0.1146	0.0899166	0.0733983	0.338883	0.130389
SMED30025832	73.0003	79.7542	67.5454	68.7789	58.4408
SMED30025834	4.16393	4.00021	5.08299	6.27626	5.91356
SMED30025837	2.22291	2.31442	2.59744	2.09805	1.97181
SMED30025845	1.54146	1.34054	1.53964	1.59478	1.71889
SMED30025846	0.934685	0.600252	2.64445	3.23511	4.04067
SMED30025847	3.20287	2.55468	2.94082	2.73284	2.52155
SMED30025852	4.33781	4.29811	4.77354	5.67935	5.81758
SMED30025858	4.61468	4.57334	5.6853	7.11558	7.78389
SMED30025880	0.326726	0.181785	0.345279	0.542877	0.522651
SMED30025889	47.3826	46.5317	51.1866	55.3323	45.2937
SMED30025897	83.2527	82.4061	90.5962	97.92	98.3945
SMED30025915	2.65664	2.55459	2.35599	2.71286	2.95823
SMED30025917	1.19974	0.887156	1.3407	1.47926	1.44775
SMED30025919	0.374246	0.493397	0.279321	0.520028	0.697822
SMED30025925	319.44	289.486	373.925	331.551	303.503
SMED30025930	3.35878	3.20287	4.29011	2.81665	3.24592
SMED30025932	5.10805	4.38865	5.35061	5.39251	5.78111
SMED30025939	0.0170828	0	0.0155414	0	0.0130803
SMED30025956	1.27105	1.54907	1.73565	1.25302	1.09755
SMED30025960	0.835712	0.745926	1.58967	1.92503	2.7266
SMED30025979	0.111334	0.11134	0.145719	0.0817371	0.1793
SMED30025982	3.32639	3.34842	2.62511	2.16313	2.06519
SMED30025983	0.230004	0.165481	0.24209	0.270288	0.25275
SMED30025984	10.7303	10.39	11.6773	12.9818	13.3047
SMED30025991	0	0	0.0185739	0	0
SMED30026006	0.694012	0.64669	0.580747	0.572964	0.534896
SMED30026007	4.05422	3.9219	4.23746	4.44979	4.29772
SMED30026015	3.35708	3.07085	3.92472	5.10618	5.19582
SMED30026026	10.9712	10.8497	9.80786	8.45391	8.10558
SMED30026028	0.320404	0.362208	0.457428	0.419892	0.333594
SMED30026047	0.558288	0.771389	0.690217	1.23312	1.05212
SMED30026052	3.82308	3.72047	3.81319	3.80407	3.84255
SMED30026065	0.477342	0.535042	0.652755	0.920382	0.960243
SMED30026072	20.3702	18.2439	21.8573	29.4581	33.8192
SMED30026079	38.3063	36.1957	40.126	44.4454	43.2192
SMED30026080	2.77727	2.03537	2.39903	2.12356	2.3635
SMED30026081	2.05941	1.93028	2.3261	2.94503	3.03959
SMED30026095	0.708457	0.722462	0.502699	0.758927	1.01984
SMED30026106	0.289738	0.562391	0.442203	0.669291	0.731845
SMED30026110	63.1393	65.1992	65.2917	77.1633	76.5843
SMED30026115	2.44626	2.53198	2.78439	3.58846	3.70238
SMED30026130	7.66807	7.51297	7.48148	7.82896	8.36835
SMED30026134	20.6981	19.0479	21.7474	17.6308	14.0632
SMED30026136	34.2128	36.3977	49.5391	55.3226	61.0781
SMED30026150	4.12989	4.35599	3.89401	4.03512	3.56233
SMED30026160	0.316389	0.0502437	0.0740203	0.223652	0.254342
SMED30026166	1.94771	1.73228	1.47406	2.17497	2.10122
SMED30026174	0.0311622	0.0305268	0.094341	0.109583	0.0114265
SMED30026175	28.9309	29.1673	33.4651	27.6103	25.8556
SMED30026182	18.3699	17.9826	15.765	15.0411	15.4612
SMED30026190	0.126026	0.10236	2.4139	6.51695	8.01667
SMED30026217	0.297166	0.160543	0.202136	0.11172	0.171175
SMED30026220	1.20343	1.09247	1.12623	1.01373	1.37318
SMED30026223	0.402822	0.381455	0.459024	0.355923	0.435174
SMED30026233	0.438813	0.380328	0.440448	0.355458	0.625048
SMED30026244	0.453888	0.427065	0.190391	0.199335	0.231163
SMED30026254	0.90505	0.593175	1.42595	0.957214	0.87527
SMED30026255	12.3926	13.6359	14.6054	15.8689	16.3286
SMED30026275	25.1153	28.2017	19.0243	22.338	23.8326
SMED30026278	18.0265	17.7872	14.3939	13.3555	13.9683
SMED30026287	0.587065	0.535113	0.401428	0.181119	0.399096
SMED30026310	0.62184	0.566441	2.15179	3.05082	1.40867
SMED30026322	27.7136	26.7923	26.8696	31.4606	30.4359
SMED30026326	2.76802	2.90378	2.99682	2.97513	3.04115
SMED30026338	0.139937	0.150244	0.220667	0.432962	0.36626
SMED30026343	0.198543	0.374135	0.210344	0.520005	0.158338
